№ УИК,Адрес голосования,Координаты
1.0,"190068, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Коломна, Лермонтовский проспект, дом 14, ",59.9199029 30.2951296
2.0,"190068, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Коломна, Лермонтовский проспект, дом 21, ",59.91924499999999 30.294641
3.0,"190121, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Коломна, Канонерская улица, дом 33, ",59.91894370000001 30.2862406
4.0,"190121, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Коломна, Садовая улица, дом 108, ",59.91752 30.287712
5.0,"190068, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Коломна, Лермонтовский проспект, дом 14, ",59.9199029 30.2951296
6.0,"190121, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Коломна, Канонерская улица, дом 33, ",59.91894370000001 30.2862406
7.0,"190121, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Коломна, Лоцманская улица, дом 10, ",59.9188005 30.2765536
8.0,"190068, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Коломна, набережная Крюкова канала, дом 15, ",59.92210439999999 30.2970804
9.0,"190121, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Коломна, набережная Крюкова канала, дом 3, ",59.92683630000001 30.2937517
10.0,"190121, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Коломна, набережная Крюкова канала, дом 3, ",59.92683630000001 30.2937517
11.0,"190121, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Коломна, набережная реки Пряжки, дом 2-4-6, ",59.926648 30.2801749
12.0,"190121, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Коломна, улица Витебская, дом 7, ",59.92112940000001 30.281564
13.0,"190121, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Коломна, улица Витебская, дом 7, ",59.92112940000001 30.281564
14.0,"190121, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Коломна, улица Союза Печатников, дом 26, ",59.9222905 30.2861022
15.0,"190068, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Сенной округ, переулок Бойцова, дом 3, ",59.92213 30.309784
16.0,"190068, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Сенной округ, улица Садовая, дом 52, ",59.923031 30.3103069
17.0,"190031, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Сенной округ, Московский проспект, дом 9-11, ",59.924253 30.3170766
18.0,"190031, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Сенной округ, набережная реки Фонтанки, дом 113, ",59.9226748 30.3157972
19.0,"190068, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Сенной округ, проспект Римского-Корсакова, дом 4/38, ",59.924069 30.308433
