№ УИК,Адрес голосования,Column,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11
1.0,"190068, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Коломна, Лермонтовский проспект, дом 14, ",,,,,,,,,,,
2.0,"190068, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Коломна, Лермонтовский проспект, дом 21, ",,,,,,,,,,,
3.0,"190121, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Коломна, Канонерская улица, дом 33, ",,,,,,,,,,,
4.0,"190121, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Коломна, Садовая улица, дом 108, ",,,,,,,,,,,
5.0,"190068, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Коломна, Лермонтовский проспект, дом 14, ",,,,,,,,,,,
6.0,"190121, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Коломна, Канонерская улица, дом 33, ",,,,,,,,,,,
7.0,"190121, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Коломна, Лоцманская улица, дом 10, ",,,,,,,,,,,
8.0,"190068, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Коломна, набережная Крюкова канала, дом 15, ",,,,,,,,,,,
9.0,"190121, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Коломна, набережная Крюкова канала, дом 3, ",,,,,,,,,,,
10.0,"190121, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Коломна, набережная Крюкова канала, дом 3, ",,,,,,,,,,,
11.0,"190121, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Коломна, набережная реки Пряжки, дом 2-4-6, ",,,,,,,,,,,
12.0,"190121, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Коломна, улица Витебская, дом 7, ",,,,,,,,,,,
13.0,"190121, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Коломна, улица Витебская, дом 7, ",,,,,,,,,,,
14.0,"190121, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Коломна, улица Союза Печатников, дом 26, ",,,,,,,,,,,
15.0,"190068, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Сенной округ, переулок Бойцова, дом 3, ",,,,,,,,,,,
16.0,"190068, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Сенной округ, улица Садовая, дом 52, ",,,,,,,,,,,
17.0,"190031, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Сенной округ, Московский проспект, дом 9-11, ",,,,,,,,,,,
18.0,"190031, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Сенной округ, набережная реки Фонтанки, дом 113, ",,,,,,,,,,,
19.0,"190068, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Сенной округ, проспект Римского-Корсакова, дом 4/38, ",,,,,,,,,,,
20.0,"190000, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Сенной округ, Казанская улица, дом 27, ",,,,,,,,,,,
21.0,"190031, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Сенной округ, Казанская улица, дом 48, ",,,,,,,,,,,
22.0,"190031, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Сенной округ, улица Гражданская, дом 26, ",,,,,,,,,,,
23.0,"190068, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Адмиралтейский округ, набережная канала Грибоедова, дом 123, ",,,,,,,,,,,
24.0,"190068, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Адмиралтейский округ, улица Средняя Подьяческая, дом 1, ",,,,,,,,,,,
25.0,"190068, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Адмиралтейский округ, улица Средняя Подьяческая, дом 1, ",,,,,,,,,,,
26.0,"190000, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Адмиралтейский округ, улица Большая Морская, дом 61, ",,,,,,,,,,,
27.0,"190000, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Адмиралтейский округ, набережная канала Грибоедова, дом 83, ",,,,,,,,,,,
28.0,"190000, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Адмиралтейский округ, набережная канала Грибоедова, дом 83, ",,,,,,,,,,,
29.0,"190000, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Адмиралтейский округ, улица Большая Морская, дом 33, ",,,,,,,,,,,
30.0,"190000, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Адмиралтейский округ, набережная Адмиралтейского канала, дом 11-13, ",,,,,,,,,,,
31.0,"190000, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Адмиралтейский округ, Адмиралтейская набережная, дом 4, ",,,,,,,,,,,
32.0,"190000, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Адмиралтейский округ, улица Якубовича, дом 26, ",,,,,,,,,,,
33.0,"191180, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Семеновский, улица Бородинская, дом 11, ",,,,,,,,,,,
34.0,"191180, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Семеновский, улица Бородинская, дом 11, ",,,,,,,,,,,
35.0,"190013, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Семеновский, улица Можайская, дом 1, ",,,,,,,,,,,
36.0,"190013, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Семеновский, улица Верейская, дом 20, ",,,,,,,,,,,
37.0,"190013, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Семеновский, улица Верейская, дом 20, ",,,,,,,,,,,
38.0,"190013, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Семеновский, улица Серпуховская, дом 39, ",,,,,,,,,,,
39.0,"190013, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Семеновский, улица Серпуховская, дом 39, ",,,,,,,,,,,
40.0,"190013, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Семеновский, улица Бронницкая, дом 34, ",,,,,,,,,,,
41.0,"190013, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Семеновский, Московский проспект, дом 24-26/49, ",,,,,,,,,,,
42.0,"190013, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Семеновский, Малодетскосельский проспект, дом 23, ",,,,,,,,,,,
43.0,"190005, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Измайловское, Советский переулок, дом 4, ",,,,,,,,,,,
44.0,"190005, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Измайловское, набережная реки Фонтанки, дом 134 а, ",,,,,,,,,,,
45.0,"190103, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Измайловское, улица 8-я Красноармейская, дом 3, ",,,,,,,,,,,
