№ ТИК,№ УИК,Адрес 1,Адрес 2,Члены избирательной комиссии,Координаты
11,414,"195220, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Академическое, проспект Непокоренных, дом 12, корпус 2, литера А","195220, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Академическое, проспект Непокоренных, дом 12, корпус 2, литера А","<table cellpadding=""0"" cellspacing=""0"">
<tbody><tr>
<th></th><th>ФИО</th><th>Статус</th><th>Кем рекомендован в состав комиссии</th>
</tr>
<tr>
<td>1</td><td><nobr>Северинова Татьяна Васильевна</nobr></td><td>Председатель</td><td>Санкт-Петербургское региональное отделение Всероссийской политической партии ""ЕДИНАЯ РОССИЯ""</td>
</tr>
<tr>
<td>2</td><td><nobr>Вахрушева Ирина Николаевна</nobr></td><td>Зам.председателя</td><td>собрание избирателей по месту жительства</td>
</tr>
<tr>
<td>3</td><td><nobr>Холодовская Наталья Борисовна</nobr></td><td>Секретарь</td><td>САНКТ-ПЕТЕРБУРГСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""</td>
</tr>
<tr>
<td>4</td><td><nobr>Аксенова Нина Петровна</nobr></td><td>Член</td><td>собрание избирателей по месту работы</td>
</tr>
<tr>
<td>5</td><td><nobr>Баранов Дмитрий Николаевич</nobr></td><td>Член</td><td>собрание избирателей по месту жительства</td>
</tr>
<tr>
<td>6</td><td><nobr>Караваев Денис Андреевич</nobr></td><td>Член</td><td>Санкт-Петербургское региональное отделение политической партии ""ПАТРИОТЫ РОССИИ""</td>
</tr>
<tr>
<td>7</td><td><nobr>Полежаева Светлана Ивановна</nobr></td><td>Член</td><td>Санкт-Петербургское региональное отделение политической партии ""Российская объединенная демократическая партия ""ЯБЛОКО""</td>
</tr>
<tr>
<td>8</td><td><nobr>Пятовская Ирина Николаевна</nobr></td><td>Член</td><td>Санкт-Петербургское региональное отделение политической партии ЛДПР - Либерально-демократической партии России</td>
</tr>
</tbody></table>",59.997222 30.37716099999999
11,415,"194064, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Академическое, проспект Науки, дом 13, корпус 4","194064, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Академическое, проспект Науки, дом 13, корпус 4","<table cellpadding=""0"" cellspacing=""0"">
<tbody><tr>
<th></th><th>ФИО</th><th>Статус</th><th>Кем рекомендован в состав комиссии</th>
</tr>
<tr>
<td>1</td><td><nobr>Яковлева Екатерина Андреевна</nobr></td><td>Председатель</td><td>собрание избирателей по месту жительства</td>
</tr>
<tr>
<td>2</td><td><nobr>Шептало Данила Дмитриевич</nobr></td><td>Зам.председателя</td><td>собрание избирателей по месту жительства</td>
</tr>
<tr>
<td>3</td><td><nobr>Кричевцова Елена Андреевна</nobr></td><td>Секретарь</td><td>собрание избирателей по месту жительства</td>
</tr>
<tr>
<td>4</td><td><nobr>Артемьева Каролина Сергеевна</nobr></td><td>Член</td><td>Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге</td>
</tr>
<tr>
<td>5</td><td><nobr>Головнева Валерия Витальевна</nobr></td><td>Член</td><td>собрание избирателей по месту работы</td>
</tr>
<tr>
<td>6</td><td><nobr>Гончарова Татьяна Алексеевна</nobr></td><td>Член</td><td>собрание избирателей по месту работы</td>
</tr>
<tr>
<td>7</td><td><nobr>Напольская Зинаида Анисимовна</nobr></td><td>Член</td><td>Санкт-Петербургское региональное отделение Всероссийской политической партии ""ЕДИНАЯ РОССИЯ""</td>
</tr>
<tr>
<td>8</td><td><nobr>Томашпольская Дария Сергеевна</nobr></td><td>Член</td><td>САНКТ-ПЕТЕРБУРГСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""</td>
</tr>
</tbody></table>",60.015103 30.3757839
11,416,"194064, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Академическое, проспект Науки, дом 13, корпус 4","194064, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Академическое, проспект Науки, дом 13, корпус 4","<table cellpadding=""0"" cellspacing=""0"">
<tbody><tr>
<th></th><th>ФИО</th><th>Статус</th><th>Кем рекомендован в состав комиссии</th>
</tr>
<tr>
<td>1</td><td><nobr>Яковлев Алексей Евгеньевич</nobr></td><td>Председатель</td><td>собрание избирателей по месту работы</td>
</tr>
<tr>
<td>2</td><td><nobr>Петрушина Вера Ивановна</nobr></td><td>Зам.председателя</td><td>собрание избирателей по месту работы</td>
</tr>
<tr>
<td>3</td><td><nobr>Михаськина Наталья Викторовна</nobr></td><td>Секретарь</td><td>собрание избирателей по месту работы</td>
</tr>
<tr>
<td>4</td><td><nobr>Звягинцева Людмила Николаевна</nobr></td><td>Член</td><td>Санкт-Петербургское региональное отделение политической партии ЛДПР - Либерально-демократической партии России</td>
</tr>
<tr>
<td>5</td><td><nobr>Каплуненко Алексей Михайлович</nobr></td><td>Член</td><td>Санкт-Петербургское региональное отделение Всероссийской политической партии ""ЕДИНАЯ РОССИЯ""</td>
</tr>
<tr>
<td>6</td><td><nobr>Каплуненко Ольга Яковлевна</nobr></td><td>Член</td><td>собрание избирателей по месту жительства</td>
</tr>
<tr>
<td>7</td><td><nobr>Королев Игорь Николаевич</nobr></td><td>Член</td><td>Санкт-Петербургское региональное отделение политической партии ""Российская объединенная демократическая партия ""ЯБЛОКО""</td>
</tr>
<tr>
<td>8</td><td><nobr>Курганова Каролина Руслановна</nobr></td><td>Член</td><td>САНКТ-ПЕТЕРБУРГСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""</td>
</tr>
<tr>
<td>9</td><td><nobr>Черняева Оксана Александровна</nobr></td><td>Член</td><td>собрание избирателей по месту работы</td>
</tr>
<tr>
<td>10</td><td><nobr>Яковлева Анастасия Владимировна</nobr></td><td>Член</td><td>собрание избирателей по месту работы</td>
</tr>
</tbody></table>",60.015103 30.3757839
11,417,"194064, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Академическое, проспект Науки, дом 13, корпус 4","194064, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Академическое, проспект Науки, дом 13, корпус 4","<table cellpadding=""0"" cellspacing=""0"">
<tbody><tr>
<th></th><th>ФИО</th><th>Статус</th><th>Кем рекомендован в состав комиссии</th>
</tr>
<tr>
<td>1</td><td><nobr>Сукало Сергей Александрович</nobr></td><td>Председатель</td><td>собрание избирателей по месту жительства</td>
</tr>
<tr>
<td>2</td><td><nobr>Косухин Николай Игоревич</nobr></td><td>Зам.председателя</td><td>Санкт-Петербургское региональное отделение общероссийской общественной организации ""Российский Красный Крест""</td>
</tr>
<tr>
<td>3</td><td><nobr>Рубцова Надежда Владимировна</nobr></td><td>Секретарь</td><td>Санкт-Петербургское региональное отделение Всероссийской политической партии ""ЕДИНАЯ РОССИЯ""</td>
</tr>
<tr>
<td>4</td><td><nobr>Горецкая Владислава Александровна</nobr></td><td>Член</td><td>собрание избирателей по месту жительства</td>
</tr>
<tr>
<td>5</td><td><nobr>Лабутова Екатерина Юрьевна</nobr></td><td>Член</td><td>Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге</td>
</tr>
<tr>
<td>6</td><td><nobr>Митчин Константин Александрович</nobr></td><td>Член</td><td>Санкт-Петербургское региональное отделение политической партии ""Российская объединенная демократическая партия ""ЯБЛОКО""</td>
</tr>
<tr>
<td>7</td><td><nobr>Очкас Дмитрий Анатольевич</nobr></td><td>Член</td><td>Региональное отделение ВСЕРОССИЙСКОЙ ПОЛИТИЧЕСКОЙ ПАРТИИ ""РОДИНА"" в городе Санкт-Петербурге</td>
</tr>
<tr>
<td>8</td><td><nobr>Шалоня Наталия Евгеньевна</nobr></td><td>Член</td><td>собрание избирателей по месту жительства</td>
</tr>
<tr>
<td>9</td><td><nobr>Шалоня Юрий Владимирович</nobr></td><td>Член</td><td>САНКТ-ПЕТЕРБУРГСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""</td>
</tr>
<tr>
<td>10</td><td><nobr>Швецов Павел Константинович</nobr></td><td>Член</td><td>Санкт-Петербургское региональное отделение политической партии ""ПАТРИОТЫ РОССИИ""</td>
</tr>
</tbody></table>",60.015103 30.3757839
11,418,"195257, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Академическое, улица Вавиловых, дом 8, корпус 2","195257, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Академическое, улица Вавиловых, дом 8, корпус 2","<table cellpadding=""0"" cellspacing=""0"">
<tbody><tr>
<th></th><th>ФИО</th><th>Статус</th><th>Кем рекомендован в состав комиссии</th>
</tr>
<tr>
<td>1</td><td><nobr>Фалькович Лариса Олеговна</nobr></td><td>Председатель</td><td>Санкт-Петербургское региональное отделение политической партии ЛДПР - Либерально-демократической партии России</td>
</tr>
<tr>
<td>2</td><td><nobr>Воробьева Светлана Александровна</nobr></td><td>Зам.председателя</td><td>Региональное отделение ВСЕРОССИЙСКОЙ ПОЛИТИЧЕСКОЙ ПАРТИИ ""РОДИНА"" в городе Санкт-Петербурге</td>
</tr>
<tr>
<td>3</td><td><nobr>Одоевских Екатерина Романовна</nobr></td><td>Секретарь</td><td>Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге</td>
</tr>
<tr>
<td>4</td><td><nobr>Астраханцев Дмитрий Александрович</nobr></td><td>Член</td><td>Санкт-Петербургское региональное отделение политической партии ""Российская объединенная демократическая партия ""ЯБЛОКО""</td>
</tr>
<tr>
<td>5</td><td><nobr>Воробьев Михаил Валерьевич</nobr></td><td>Член</td><td>Санкт-Петербургское региональное отделение Всероссийской политической партии ""ЕДИНАЯ РОССИЯ""</td>
</tr>
<tr>
<td>6</td><td><nobr>Гедзенко Елена Владимировна</nobr></td><td>Член</td><td>Общероссийская общественная организация Всероссийское общество инвалидов (ВОИ)</td>
</tr>
<tr>
<td>7</td><td><nobr>Кольцевой Анатолий Константинович</nobr></td><td>Член</td><td>САНКТ-ПЕТЕРБУРГСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""</td>
</tr>
<tr>
<td>8</td><td><nobr>Лященко Павел Геннадьевич</nobr></td><td>Член</td><td>собрание избирателей по месту жительства</td>
</tr>
<tr>
<td>9</td><td><nobr>Одоевских Михаил Владимирович</nobr></td><td>Член</td><td>собрание избирателей по месту жительства</td>
</tr>
<tr>
<td>10</td><td><nobr>Струнова Алла Сергеевна</nobr></td><td>Член</td><td>собрание избирателей по месту работы</td>
</tr>
</tbody></table>",60.02000899999999 30.3848809
11,419,"195427, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Академическое, улица Академика Константинова, дом 10, корпус 2","195427, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Академическое, улица Академика Константинова, дом 10, корпус 2","<table cellpadding=""0"" cellspacing=""0"">
<tbody><tr>
<th></th><th>ФИО</th><th>Статус</th><th>Кем рекомендован в состав комиссии</th>
</tr>
<tr>
<td>1</td><td><nobr>Озерова Наталья Александровна</nobr></td><td>Председатель</td><td>собрание избирателей по месту работы</td>
</tr>
<tr>
<td>2</td><td><nobr>Сухомыро Юлия Алексеевна</nobr></td><td>Зам.председателя</td><td>собрание избирателей по месту работы</td>
</tr>
<tr>
<td>3</td><td><nobr>Хорошавцева Ирина Владимировна</nobr></td><td>Секретарь</td><td>Региональное отделение ВСЕРОССИЙСКОЙ ПОЛИТИЧЕСКОЙ ПАРТИИ ""РОДИНА"" в городе Санкт-Петербурге</td>
</tr>
<tr>
<td>4</td><td><nobr>Бородин Александр Петрович</nobr></td><td>Член</td><td>Санкт-Петербургское региональное отделение Всероссийской политической партии ""ЕДИНАЯ РОССИЯ""</td>
</tr>
<tr>
<td>5</td><td><nobr>Василевский Алексей Юрьевич</nobr></td><td>Член</td><td>собрание избирателей по месту жительства</td>
</tr>
<tr>
<td>6</td><td><nobr>Горшков Константин Вениаминович</nobr></td><td>Член</td><td>Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге</td>
</tr>
<tr>
<td>7</td><td><nobr>Деветьяров Данила Ренатович</nobr></td><td>Член</td><td>Санкт-Петербургское региональное отделение политической партии ""Российская объединенная демократическая партия ""ЯБЛОКО""</td>
</tr>
<tr>
<td>8</td><td><nobr>Семенова Инна Арсеньевна</nobr></td><td>Член</td><td>Санкт-Петербургское региональное отделение политической партии ЛДПР - Либерально-демократической партии России</td>
</tr>
</tbody></table>",60.021128 30.379481
11,420,"195427, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Академическое, улица Академика Константинова, дом 10, корпус 2","195427, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Академическое, улица Академика Константинова, дом 10, корпус 2","<table cellpadding=""0"" cellspacing=""0"">
<tbody><tr>
<th></th><th>ФИО</th><th>Статус</th><th>Кем рекомендован в состав комиссии</th>
</tr>
<tr>
<td>1</td><td><nobr>Романовский Алексей Дмитриевич</nobr></td><td>Председатель</td><td>Региональное отделение ВСЕРОССИЙСКОЙ ПОЛИТИЧЕСКОЙ ПАРТИИ ""РОДИНА"" в городе Санкт-Петербурге</td>
</tr>
<tr>
<td>2</td><td><nobr>Бородина Ольга Борисовна</nobr></td><td>Зам.председателя</td><td>Санкт-Петербургская общественная организация ""Жители блокадного Ленинграда""</td>
</tr>
<tr>
<td>3</td><td><nobr>Тарасова Алена Сергеевна</nobr></td><td>Секретарь</td><td>собрание избирателей по месту работы</td>
</tr>
<tr>
<td>4</td><td><nobr>Дмитриева Мария Олеговна</nobr></td><td>Член</td><td>Санкт-Петербургское региональное отделение политической партии ЛДПР - Либерально-демократической партии России</td>
</tr>
<tr>
<td>5</td><td><nobr>Игнатьев Сергей Владимирович</nobr></td><td>Член</td><td>Санкт-Петербургское региональное отделение политической партии ""Российская объединенная демократическая партия ""ЯБЛОКО""</td>
</tr>
<tr>
<td>6</td><td><nobr>Кондратьева Марина Александровна</nobr></td><td>Член</td><td>Общероссийская общественная организация Всероссийское общество инвалидов (ВОИ)</td>
</tr>
<tr>
<td>7</td><td><nobr>Копейкина Вероника Александровна</nobr></td><td>Член</td><td>Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге</td>
</tr>
<tr>
<td>8</td><td><nobr>Сафонова Вероника Александровна</nobr></td><td>Член</td><td>САНКТ-ПЕТЕРБУРГСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ Политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ</td>
</tr>
<tr>
<td>9</td><td><nobr>Смирнова Вера Алексеевна</nobr></td><td>Член</td><td>САНКТ-ПЕТЕРБУРГСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""</td>
</tr>
<tr>
<td>10</td><td><nobr>Шаповалов Антон Владимирович</nobr></td><td>Член</td><td>Санкт-Петербургское региональное отделение Общероссийской политической партии ""Народная партия ""За женщин России""</td>
</tr>
</tbody></table>",60.021128 30.379481
11,421,"194064, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Академическое, проспект Науки, дом 13, корпус 4","194064, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Академическое, проспект Науки, дом 13, корпус 4","<table cellpadding=""0"" cellspacing=""0"">
<tbody><tr>
<th></th><th>ФИО</th><th>Статус</th><th>Кем рекомендован в состав комиссии</th>
</tr>
<tr>
<td>1</td><td><nobr>Федоров Александр Николаевич</nobr></td><td>Председатель</td><td>собрание избирателей по месту работы</td>
</tr>
<tr>
<td>2</td><td><nobr>Удалова Наталья Николаевна</nobr></td><td>Зам.председателя</td><td>Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге</td>
</tr>
<tr>
<td>3</td><td><nobr>Юркова Татьяна Владимировна</nobr></td><td>Секретарь</td><td>Общероссийская общественная организация Всероссийское общество инвалидов (ВОИ)</td>
</tr>
<tr>
<td>4</td><td><nobr>Белова Ирина Николаевна</nobr></td><td>Член</td><td>собрание избирателей по месту жительства</td>
</tr>
<tr>
<td>5</td><td><nobr>Малова Алла Сергеевна</nobr></td><td>Член</td><td>Санкт-Петербургское региональное отделение политической партии ""ПАТРИОТЫ РОССИИ""</td>
</tr>
<tr>
<td>6</td><td><nobr>Негляд Мария Яковлевна</nobr></td><td>Член</td><td>собрание избирателей по месту работы</td>
</tr>
<tr>
<td>7</td><td><nobr>Пушкин Сергей Леонидович</nobr></td><td>Член</td><td>САНКТ-ПЕТЕРБУРГСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""</td>
</tr>
<tr>
<td>8</td><td><nobr>Солоп Элла Ивановна</nobr></td><td>Член</td><td>Санкт-Петербургское региональное отделение политической партии ""Российская объединенная демократическая партия ""ЯБЛОКО""</td>
</tr>
<tr>
<td>9</td><td><nobr>Стрелецкая Галина Евгеньевна</nobr></td><td>Член</td><td>Санкт-Петербургское региональное отделение Общероссийской политической партии ""Народная партия ""За женщин России""</td>
</tr>
<tr>
<td>10</td><td><nobr>Яркин Дмитрий Сергеевич</nobr></td><td>Член</td><td>собрание избирателей по месту жительства</td>
</tr>
</tbody></table>",60.015103 30.3757839
11,422,"195427, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Академическое, Светлановский проспект, дом 38, корпус 2","195427, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Академическое, Светлановский проспект, дом 38, корпус 2","<table cellpadding=""0"" cellspacing=""0"">
<tbody><tr>
<th></th><th>ФИО</th><th>Статус</th><th>Кем рекомендован в состав комиссии</th>
</tr>
<tr>
<td>1</td><td><nobr>Попова Жанна Викторовна</nobr></td><td>Председатель</td><td>Санкт-Петербургское региональное отделение Всероссийской политической партии ""ЕДИНАЯ РОССИЯ""</td>
</tr>
<tr>
<td>2</td><td><nobr>Арутюнова Лариса Тариеловна</nobr></td><td>Зам.председателя</td><td>собрание избирателей по месту жительства</td>
</tr>
<tr>
<td>3</td><td><nobr>Матюшева Юлия Андреевна</nobr></td><td>Секретарь</td><td>Санкт-Петербургская общественная организация ""Жители блокадного Ленинграда""</td>
</tr>
<tr>
<td>4</td><td><nobr>Горячева Ольга Станиславовна</nobr></td><td>Член</td><td>САНКТ-ПЕТЕРБУРГСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""</td>
</tr>
<tr>
<td>5</td><td><nobr>Игнатьева Наталья Сергеевна</nobr></td><td>Член</td><td>собрание избирателей по месту жительства</td>
</tr>
<tr>
<td>6</td><td><nobr>Колупаева Вероника Сергеевна</nobr></td><td>Член</td><td>собрание избирателей по месту жительства</td>
</tr>
<tr>
<td>7</td><td><nobr>Селезнева Наталья Евгеньевна</nobr></td><td>Член</td><td>собрание избирателей по месту работы</td>
</tr>
<tr>
<td>8</td><td><nobr>Столбова Нина Ивановна</nobr></td><td>Член</td><td>МОО Калининского района Санкт-Петербурга СОЮЗ ""ЧЕРНОБЫЛЬ-КВАНТ""</td>
</tr>
<tr>
<td>9</td><td><nobr>Уварова Юлия Николаевна</nobr></td><td>Член</td><td>Региональное отделение ВСЕРОССИЙСКОЙ ПОЛИТИЧЕСКОЙ ПАРТИИ ""РОДИНА"" в городе Санкт-Петербурге</td>
</tr>
<tr>
<td>10</td><td><nobr>Яковлева Светлана Геннадьевна</nobr></td><td>Член</td><td>Санкт-Петербургское региональное отделение политической партии ЛДПР - Либерально-демократической партии России</td>
</tr>
</tbody></table>",60.02414700000001 30.3738509
11,423,"195427, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Академическое, Светлановский проспект, дом 38, корпус 2","195427, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Академическое, Светлановский проспект, дом 38, корпус 2","<table cellpadding=""0"" cellspacing=""0"">
<tbody><tr>
<th></th><th>ФИО</th><th>Статус</th><th>Кем рекомендован в состав комиссии</th>
</tr>
<tr>
<td>1</td><td><nobr>Попова Галина Егоровна</nobr></td><td>Председатель</td><td>собрание избирателей по месту жительства</td>
</tr>
<tr>
<td>2</td><td><nobr>Карпова Маргарита Александровна</nobr></td><td>Зам.председателя</td><td>Санкт-Петербургское региональное отделение Всероссийской политической партии ""ЕДИНАЯ РОССИЯ""</td>
</tr>
<tr>
<td>3</td><td><nobr>Пономарева Ирина Александровна</nobr></td><td>Секретарь</td><td>собрание избирателей по месту жительства</td>
</tr>
<tr>
<td>4</td><td><nobr>Береговая Елена Сергеевна</nobr></td><td>Член</td><td>Региональное отделение ВСЕРОССИЙСКОЙ ПОЛИТИЧЕСКОЙ ПАРТИИ ""РОДИНА"" в городе Санкт-Петербурге</td>
</tr>
<tr>
<td>5</td><td><nobr>Боровков Александр Германович</nobr></td><td>Член</td><td>собрание избирателей по месту жительства</td>
</tr>
<tr>
<td>6</td><td><nobr>Винокурова Любовь Викторовна</nobr></td><td>Член</td><td>Санкт-Петербургское региональное отделение политической партии ЛДПР - Либерально-демократической партии России</td>
</tr>
<tr>
<td>7</td><td><nobr>Горячева Нэлли Петровна</nobr></td><td>Член</td><td>САНКТ-ПЕТЕРБУРГСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""</td>
</tr>
<tr>
<td>8</td><td><nobr>Гульцова Елена Валерьевна</nobr></td><td>Член</td><td>собрание избирателей по месту жительства</td>
</tr>
<tr>
<td>9</td><td><nobr>Досугова Вера Ивановна</nobr></td><td>Член</td><td>Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге</td>
</tr>
<tr>
<td>10</td><td><nobr>Цхвитария Тамилла Артуровна</nobr></td><td>Член</td><td>собрание избирателей по месту жительства</td>
</tr>
</tbody></table>",60.02414700000001 30.3738509
